epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.5512,1.61733,6.00227,0.89166,0.53205,0.06167,0.04874,0.02626,1.51376,2.75521,0.8817,0.00332139,0.00332139,0.00332139
2,146.415,1.48727,4.07906,0.87502,0.61936,0.18122,0.12667,0.0868,1.1617,2.32075,0.86201,0.00658884,0.00658884,0.00658884
3,218.525,1.49672,3.66618,0.88703,0.56341,0.16756,0.15894,0.09817,1.33548,2.16108,0.89181,0.00979029,0.00979029,0.00979029
4,288.681,1.45501,3.00258,0.8915,0.52374,0.25833,0.2172,0.14405,1.21199,1.87029,0.88463,0.009703,0.009703,0.009703
5,359.03,1.35236,2.26186,0.87469,0.46288,0.27971,0.24103,0.16592,1.08356,1.75176,0.86244,0.009604,0.009604,0.009604
6,429.375,1.29028,1.98272,0.86557,0.57919,0.30881,0.27206,0.18656,1.08108,1.53693,0.86141,0.009505,0.009505,0.009505
7,500.889,1.24962,1.83025,0.85887,0.53737,0.31529,0.2817,0.19996,1.03,1.59245,0.85284,0.009406,0.009406,0.009406
8,571.292,1.2153,1.75737,0.85624,0.52567,0.32895,0.31231,0.22474,1.00496,1.46378,0.84911,0.009307,0.009307,0.009307
9,642.182,1.18597,1.66263,0.85256,0.4631,0.31541,0.28008,0.19674,1.03842,1.60235,0.85692,0.009208,0.009208,0.009208
10,712.541,1.17001,1.63154,0.84907,0.54247,0.34233,0.32276,0.23085,0.97381,1.39383,0.84128,0.009109,0.009109,0.009109
11,782.59,1.15686,1.58783,0.84402,0.52685,0.36925,0.33736,0.24127,0.99969,1.38001,0.84473,0.00901,0.00901,0.00901
12,852.412,1.1457,1.55784,0.84395,0.46116,0.37067,0.36801,0.27165,0.96396,1.29627,0.83878,0.008911,0.008911,0.008911
13,921.666,1.12626,1.51243,0.83934,0.54999,0.35122,0.3577,0.2563,0.94538,1.26204,0.83974,0.008812,0.008812,0.008812
14,988.602,1.11331,1.48232,0.84135,0.5457,0.35732,0.39727,0.29485,0.92211,1.20041,0.83861,0.008713,0.008713,0.008713
15,1055.5,1.10279,1.46976,0.83839,0.65265,0.34021,0.39733,0.29384,0.93474,1.24426,0.83311,0.008614,0.008614,0.008614
16,1122.14,1.08715,1.44133,0.83514,0.55921,0.36489,0.38948,0.28982,0.92517,1.19529,0.83533,0.008515,0.008515,0.008515
17,1189.11,1.08466,1.41176,0.83362,0.45424,0.42193,0.39715,0.29438,0.93363,1.29745,0.8345,0.008416,0.008416,0.008416
18,1255.91,1.06898,1.37327,0.83399,0.52603,0.38836,0.43255,0.32431,0.92071,1.12704,0.83519,0.008317,0.008317,0.008317
19,1322.92,1.06648,1.37869,0.82895,0.51098,0.48053,0.44142,0.32917,0.90987,1.11713,0.82923,0.008218,0.008218,0.008218
20,1389.77,1.05275,1.35043,0.83489,0.52899,0.42563,0.42093,0.31164,0.88567,1.13121,0.82892,0.008119,0.008119,0.008119
21,1456.84,1.06079,1.34094,0.83387,0.40225,0.46052,0.43849,0.32873,0.88059,1.07148,0.82911,0.00802,0.00802,0.00802
22,1524,1.0448,1.30795,0.82733,0.4604,0.43644,0.42781,0.32276,0.88928,1.09856,0.82819,0.007921,0.007921,0.007921
23,1590.69,1.04797,1.314,0.82885,0.51384,0.43885,0.45378,0.34252,0.89018,1.07949,0.82682,0.007822,0.007822,0.007822
24,1657.6,1.04507,1.30084,0.83244,0.53288,0.44326,0.45929,0.34945,0.86929,1.0303,0.82295,0.007723,0.007723,0.007723
25,1724.31,1.03827,1.26636,0.82986,0.61372,0.40074,0.45599,0.34385,0.88081,1.04435,0.82759,0.007624,0.007624,0.007624
26,1790.98,1.02965,1.255,0.82713,0.66905,0.36864,0.46579,0.35246,0.86688,1.0507,0.82439,0.007525,0.007525,0.007525
27,1857.74,1.02306,1.24791,0.82734,0.50505,0.46048,0.48574,0.36871,0.86601,1.00946,0.82039,0.007426,0.007426,0.007426
28,1924.56,1.0283,1.25603,0.82776,0.52777,0.43997,0.47515,0.36001,0.86229,1.00598,0.82258,0.007327,0.007327,0.007327
29,1991.22,0.9969,1.20807,0.82689,0.46078,0.48063,0.47707,0.35909,0.8605,0.98731,0.82384,0.007228,0.007228,0.007228
30,2058.1,1.00304,1.21072,0.82797,0.44753,0.49044,0.48177,0.36555,0.8498,0.98884,0.82134,0.007129,0.007129,0.007129
31,2124.79,0.99449,1.19266,0.82243,0.47048,0.50894,0.49831,0.37893,0.84978,0.94692,0.82062,0.00703,0.00703,0.00703
32,2191.64,0.99881,1.1756,0.8248,0.6012,0.4486,0.50156,0.38299,0.83926,0.96445,0.81963,0.006931,0.006931,0.006931
33,2258.57,0.98324,1.1553,0.82437,0.58588,0.45447,0.52086,0.39603,0.85278,0.98035,0.8236,0.006832,0.006832,0.006832
34,2325.35,0.97997,1.13177,0.82373,0.49652,0.4907,0.51887,0.39072,0.85076,0.94049,0.82226,0.006733,0.006733,0.006733
35,2392.14,0.99997,1.15288,0.82298,0.53774,0.49661,0.52323,0.39996,0.83359,0.93035,0.8198,0.006634,0.006634,0.006634
36,2458.87,0.97419,1.12903,0.82457,0.55145,0.48564,0.52864,0.40457,0.83322,0.94262,0.81969,0.006535,0.006535,0.006535
37,2525.67,0.98427,1.12208,0.82126,0.57897,0.44356,0.51544,0.39626,0.83993,0.92731,0.81902,0.006436,0.006436,0.006436
38,2592.61,0.98893,1.12272,0.82064,0.54797,0.50589,0.52201,0.39375,0.85125,0.91813,0.82347,0.006337,0.006337,0.006337
39,2659.52,0.98389,1.1183,0.82394,0.55353,0.4957,0.53041,0.40232,0.84134,0.90548,0.82133,0.006238,0.006238,0.006238
40,2726.38,0.9663,1.0976,0.82149,0.67607,0.46352,0.53931,0.41016,0.83222,0.87886,0.81868,0.006139,0.006139,0.006139
41,2793.23,0.96342,1.0931,0.8202,0.6549,0.4695,0.54544,0.41656,0.8307,0.87672,0.81768,0.00604,0.00604,0.00604
42,2860.13,0.98595,1.09169,0.82005,0.56565,0.47645,0.55301,0.42346,0.82317,0.86585,0.81767,0.005941,0.005941,0.005941
43,2927.1,0.95757,1.06602,0.82118,0.54391,0.52819,0.55269,0.42642,0.81944,0.86059,0.81679,0.005842,0.005842,0.005842
44,2993.76,0.95202,1.06571,0.81837,0.56801,0.52657,0.56711,0.43587,0.82826,0.83961,0.81816,0.005743,0.005743,0.005743
45,3060.59,0.96128,1.04672,0.81862,0.62972,0.48792,0.5558,0.42528,0.8168,0.84364,0.81713,0.005644,0.005644,0.005644
46,3127.32,0.94182,1.02592,0.81704,0.60665,0.50057,0.56806,0.44225,0.81287,0.82632,0.81511,0.005545,0.005545,0.005545
47,3194.21,0.94868,1.02563,0.82081,0.48794,0.55058,0.55504,0.4255,0.80944,0.83197,0.81507,0.005446,0.005446,0.005446
48,3261.06,0.94769,1.03574,0.81458,0.5548,0.5614,0.58173,0.4474,0.81517,0.82068,0.81623,0.005347,0.005347,0.005347
49,3327.87,0.94859,1.00511,0.81781,0.54005,0.57117,0.59035,0.4558,0.81453,0.80369,0.81516,0.005248,0.005248,0.005248
50,3394.67,0.94993,1.00341,0.8186,0.64493,0.49129,0.57422,0.44537,0.80438,0.81805,0.81444,0.005149,0.005149,0.005149
51,3461.68,0.94194,0.99606,0.81845,0.64417,0.51322,0.57518,0.44616,0.80473,0.81237,0.81444,0.00505,0.00505,0.00505
52,3528.5,0.93932,0.99974,0.81903,0.583,0.55371,0.57799,0.44652,0.80148,0.80544,0.81416,0.004951,0.004951,0.004951
53,3595.28,0.93693,0.99406,0.81975,0.64179,0.54615,0.59136,0.45381,0.8101,0.79437,0.81457,0.004852,0.004852,0.004852
54,3662,0.94167,0.97604,0.81667,0.52487,0.56111,0.58832,0.45285,0.80736,0.79123,0.81319,0.004753,0.004753,0.004753
55,3728.66,0.92462,0.96254,0.816,0.6615,0.52057,0.59097,0.45537,0.8025,0.7894,0.81411,0.004654,0.004654,0.004654
