epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.563,3.98428,11.4357,3.08904,0.00126,0.01566,0.00103,0.00046,2.65812,5.36672,2.02368,0.0700595,0.00332672,0.00332672
2,291.195,2.08952,4.84879,1.39761,0.51277,0.07014,0.04593,0.02766,1.54739,2.83277,1.23462,0.0400589,0.0066594,0.0066594
3,433.481,1.68984,3.67869,1.17799,0.55518,0.11455,0.07283,0.04464,1.34966,2.44597,1.1234,0.0100556,0.00998944,0.00998944
4,576.827,1.50187,3.15313,1.09331,0.46672,0.1814,0.11722,0.07634,1.19986,2.13526,1.05219,0.00999112,0.00999112,0.00999112
5,744.093,1.38893,2.76546,1.03738,0.57231,0.19832,0.14455,0.09688,1.11523,1.97831,1.00832,0.00998422,0.00998422,0.00998422
6,878.786,1.31697,2.47258,1.0121,0.44001,0.25922,0.15473,0.10133,1.11517,1.93108,1.00537,0.00997535,0.00997535,0.00997535
7,1012.34,1.26858,2.29976,0.9978,0.43455,0.25234,0.18462,0.12445,1.07124,1.80228,0.98728,0.00996452,0.00996452,0.00996452
8,1144.27,1.246,2.17284,0.99093,0.5365,0.24806,0.20974,0.14525,1.02278,1.71074,0.9724,0.00995173,0.00995173,0.00995173
9,1276.98,1.20953,2.0428,0.97558,0.52459,0.27196,0.21408,0.1477,1.04153,1.70202,0.97468,0.00993698,0.00993698,0.00993698
10,1409.98,1.18445,1.95714,0.96894,0.57903,0.26348,0.23574,0.1638,1.01403,1.64357,0.96152,0.00992029,0.00992029,0.00992029
11,1544.24,1.17532,1.91705,0.96517,0.58611,0.27042,0.25114,0.17764,0.9989,1.59541,0.96326,0.00990166,0.00990166,0.00990166
12,1687.58,1.15659,1.86071,0.9521,0.5626,0.3186,0.25226,0.1786,0.97897,1.50525,0.95298,0.00988111,0.00988111,0.00988111
13,1821.77,1.14988,1.82512,0.95344,0.46076,0.30105,0.26173,0.18193,0.9774,1.49807,0.94808,0.00985862,0.00985862,0.00985862
14,1960.38,1.13298,1.77356,0.95032,0.57856,0.30872,0.27412,0.1963,0.96322,1.44795,0.94844,0.00983423,0.00983423,0.00983423
15,2110.35,1.12955,1.75409,0.94449,0.5573,0.30548,0.29198,0.21274,0.96244,1.45823,0.94615,0.00980794,0.00980794,0.00980794
16,2246.49,1.11247,1.7195,0.94759,0.50156,0.33035,0.29259,0.21123,0.95044,1.40636,0.93863,0.00977975,0.00977975,0.00977975
17,2380.97,1.10374,1.69776,0.93588,0.48774,0.36438,0.29962,0.2155,0.96477,1.4096,0.94442,0.00974969,0.00974969,0.00974969
18,2518.74,1.10364,1.67073,0.93872,0.53808,0.35057,0.31028,0.22265,0.94692,1.36884,0.94026,0.00971777,0.00971777,0.00971777
19,2661.97,1.09657,1.63589,0.93578,0.55534,0.35196,0.31791,0.22647,0.95527,1.36149,0.94126,0.00968399,0.00968399,0.00968399
20,2797.23,1.09344,1.65946,0.93296,0.61031,0.30614,0.32612,0.23462,0.95411,1.34935,0.93803,0.00964838,0.00964838,0.00964838
21,2931.73,1.09065,1.62208,0.93277,0.67064,0.32225,0.35875,0.25875,0.94457,1.34151,0.93858,0.00961095,0.00961095,0.00961095
22,3069.23,1.07594,1.60301,0.92956,0.57376,0.34456,0.34332,0.24694,0.93251,1.33326,0.93494,0.00957172,0.00957172,0.00957172
23,3207.68,1.0713,1.57663,0.92684,0.60818,0.33314,0.37272,0.27054,0.93445,1.29233,0.93021,0.0095307,0.0095307,0.0095307
24,3347.38,1.07368,1.56459,0.92561,0.50928,0.3674,0.36259,0.26294,0.9266,1.28324,0.92929,0.00948792,0.00948792,0.00948792
