epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.119,1.58367,7.76667,0.91007,0.00599,0.128,0.00753,0.00569,1.38469,4.7106,0.83967,1.63153e-05,1.63153e-05,1.63153e-05
2,209.067,1.51906,6.4868,0.85397,0.45045,0.03341,0.01149,0.00815,1.29812,3.61658,0.83464,3.20022e-05,3.20022e-05,3.20022e-05
3,308.579,1.40383,5.43223,0.84759,0.41584,0.0303,0.02007,0.01447,1.22533,3.10397,0.82963,4.70423e-05,4.70423e-05,4.70423e-05
4,407.316,1.35153,4.81967,0.84536,0.32753,0.0492,0.02711,0.0195,1.15599,2.76467,0.82919,4.60894e-05,4.60894e-05,4.60894e-05
5,504.274,1.27464,4.33382,0.84104,0.4159,0.05753,0.03499,0.02486,1.12036,2.574,0.82453,4.51192e-05,4.51192e-05,4.51192e-05
6,605.596,1.25253,4.01011,0.84023,0.44749,0.0674,0.04606,0.03288,1.09695,2.40156,0.82357,4.4149e-05,4.4149e-05,4.4149e-05
7,700.42,1.21999,3.75431,0.83757,0.49178,0.07624,0.05365,0.03885,1.066,2.30927,0.82127,4.31788e-05,4.31788e-05,4.31788e-05
8,794.843,1.1912,3.48055,0.83617,0.42513,0.09582,0.06123,0.04451,1.04927,2.21003,0.81982,4.22086e-05,4.22086e-05,4.22086e-05
9,901.603,1.17208,3.35271,0.83225,0.45062,0.10192,0.06931,0.05087,1.02963,2.14043,0.81913,4.12384e-05,4.12384e-05,4.12384e-05
10,1016.78,1.17381,3.20344,0.83621,0.49051,0.10194,0.07469,0.05427,1.02648,2.08248,0.81981,4.02682e-05,4.02682e-05,4.02682e-05
11,1138.66,1.15425,3.07761,0.83404,0.45811,0.10918,0.0821,0.06045,1.01434,2.0036,0.81849,3.9298e-05,3.9298e-05,3.9298e-05
12,1259.95,1.1598,3.00299,0.83318,0.4843,0.11853,0.08821,0.06483,1.00999,1.98178,0.81998,3.83278e-05,3.83278e-05,3.83278e-05
13,1379.9,1.1342,2.88033,0.83113,0.45207,0.12936,0.09013,0.06619,0.9916,1.95036,0.81816,3.73576e-05,3.73576e-05,3.73576e-05
14,1493.12,1.12148,2.80228,0.82904,0.50195,0.12988,0.09885,0.07306,0.97925,1.88496,0.81658,3.63874e-05,3.63874e-05,3.63874e-05
15,1606.66,1.11869,2.71042,0.82714,0.47948,0.14442,0.10499,0.07794,0.97866,1.84502,0.81629,3.54172e-05,3.54172e-05,3.54172e-05
16,1725.9,1.11123,2.63357,0.82989,0.43119,0.13986,0.10932,0.081,0.97418,1.81204,0.81693,3.4447e-05,3.4447e-05,3.4447e-05
17,1843.69,1.11726,2.61091,0.83056,0.46224,0.14279,0.11536,0.08597,0.97184,1.79554,0.81539,3.34768e-05,3.34768e-05,3.34768e-05
18,1965.02,1.11073,2.51973,0.8272,0.46942,0.1458,0.12059,0.08996,0.9618,1.75183,0.81518,3.25066e-05,3.25066e-05,3.25066e-05
19,2083.93,1.08173,2.44462,0.8276,0.51308,0.13297,0.12464,0.0925,0.96397,1.73024,0.81521,3.15364e-05,3.15364e-05,3.15364e-05
20,2203.2,1.08544,2.40861,0.82661,0.46797,0.15623,0.12804,0.09572,0.96236,1.70573,0.81466,3.05662e-05,3.05662e-05,3.05662e-05
21,2322.14,1.08283,2.35415,0.82752,0.52823,0.1513,0.13422,0.09997,0.95201,1.67261,0.8144,2.9596e-05,2.9596e-05,2.9596e-05
22,2420.94,1.07072,2.30914,0.82458,0.47461,0.17548,0.14202,0.10644,0.95465,1.65315,0.81493,2.86258e-05,2.86258e-05,2.86258e-05
23,2526,1.07323,2.29413,0.82452,0.46197,0.1635,0.14503,0.10872,0.94317,1.64218,0.81247,2.76556e-05,2.76556e-05,2.76556e-05
