epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.489,1.34777,5.88653,0.88066,0.5872,0.13568,0.10552,0.0733,0.99638,2.32974,0.85563,0.00332721,0.00332721,0.00332721
2,267.731,1.24699,4.00754,0.88397,0.47544,0.2649,0.21297,0.15088,0.96428,1.91004,0.86806,0.0065946,0.0065946,0.0065946
3,397.692,1.22649,3.30694,0.89413,0.4683,0.32333,0.25082,0.17573,0.99577,1.89878,0.87997,0.00979599,0.00979599,0.00979599
4,528.946,1.20834,2.51675,0.88907,0.61858,0.31914,0.31203,0.22095,0.97073,1.66731,0.87567,0.009703,0.009703,0.009703
5,658.449,1.1506,1.91912,0.88061,0.62325,0.34492,0.33642,0.24144,0.92187,1.45986,0.86886,0.009604,0.009604,0.009604
6,788.129,1.10825,1.67815,0.87339,0.57912,0.37307,0.38423,0.28632,0.895,1.39747,0.86283,0.009505,0.009505,0.009505
7,917.643,1.08195,1.56351,0.86754,0.59115,0.36789,0.38702,0.28572,0.90231,1.3896,0.85991,0.009406,0.009406,0.009406
8,1047.25,1.05667,1.4818,0.86686,0.59142,0.44964,0.42938,0.32238,0.86975,1.31277,0.85552,0.009307,0.009307,0.009307
9,1176.86,1.06371,1.4472,0.86643,0.58513,0.4301,0.44901,0.33618,0.87581,1.22498,0.85917,0.009208,0.009208,0.009208
10,1306.19,1.03712,1.36753,0.86093,0.63543,0.40797,0.45346,0.3391,0.86234,1.24386,0.85207,0.009109,0.009109,0.009109
11,1434.27,1.02648,1.34652,0.85621,0.68239,0.44821,0.49731,0.38349,0.85678,1.10773,0.85503,0.00901,0.00901,0.00901
12,1563.75,1.0051,1.31909,0.85532,0.59694,0.48813,0.52464,0.40124,0.84664,1.08346,0.85042,0.008911,0.008911,0.008911
13,1693.29,1.00615,1.27956,0.85488,0.56271,0.53285,0.53017,0.40308,0.84455,1.07905,0.84897,0.008812,0.008812,0.008812
14,1822.97,0.99567,1.24384,0.85126,0.67424,0.45969,0.54029,0.41093,0.84067,1.05751,0.84708,0.008713,0.008713,0.008713
15,1952.46,0.9899,1.22706,0.85076,0.61212,0.47621,0.54085,0.40821,0.84372,0.99997,0.84828,0.008614,0.008614,0.008614
16,2081.79,0.9773,1.1905,0.84914,0.60356,0.53563,0.55453,0.42377,0.82186,1.00333,0.84622,0.008515,0.008515,0.008515
17,2211.26,0.98365,1.17135,0.84923,0.67809,0.498,0.58356,0.44574,0.8211,0.96634,0.84355,0.008416,0.008416,0.008416
18,2340.64,0.96003,1.15239,0.84814,0.58686,0.57495,0.58815,0.44573,0.81546,0.95346,0.84293,0.008317,0.008317,0.008317
19,2470.03,0.96936,1.12493,0.84858,0.67696,0.53177,0.58169,0.44431,0.81354,0.93944,0.84108,0.008218,0.008218,0.008218
